,sn,name,mjd,flux,fluxerr,magsys,exptime,valid,lc,band,mag_sky,seeing,zp
0,17,17,58874.2421875,4785.831642405968,106.03351348040663,AB,NaN,1,2,hsc::z,NaN,NaN,32.092803955078125
1,17,17,58898.234375,6022.477575293203,323.703136681816,AB,NaN,1,2,hsc::z,NaN,NaN,32.092803955078125
2,17,17,58904.25390625,18175.802229495483,151.20051243233218,AB,NaN,1,1,hsc::r2,NaN,NaN,33.092803955078125
3,17,17,58904.24609375,18195.44477906153,118.37623648573518,AB,NaN,1,1,hsc::r2,NaN,NaN,33.092803955078125
4,17,17,58904.2421875,18057.17779361441,139.33489155723947,AB,NaN,1,1,hsc::r2,NaN,NaN,33.092803955078125
5,17,17,58900.25,3476.073738402489,183.72160279761962,AB,NaN,1,0,hsc::Y,NaN,NaN,31.69280242919922
6,17,17,58900.24609375,3204.996484618624,226.82618513117487,AB,NaN,1,0,hsc::Y,NaN,NaN,31.69280242919922
7,17,17,58876.23046875,3710.595516441563,321.76321991671836,AB,NaN,1,0,hsc::Y,NaN,NaN,31.69280242919922
8,79,79,58195.296875,412.4350193521607,43.02344418697072,AB,NaN,1,4,hsc::z,NaN,NaN,32.092803955078125
9,79,79,58195.29296875,388.03361715388655,52.55759080297828,AB,NaN,1,4,hsc::z,NaN,NaN,32.092803955078125
10,79,79,58159.55859375,945.9256858448844,64.38122584953129,AB,NaN,1,4,hsc::z,NaN,NaN,32.092803955078125
11,79,79,58131.6015625,2682.74886769176,224.8975149341558,AB,NaN,1,4,hsc::z,NaN,NaN,32.092803955078125
12,79,79,58131.59765625,2680.1209166099616,80.79546526248402,AB,NaN,1,4,hsc::z,NaN,NaN,32.092803955078125
13,79,79,58131.59375,2515.5788815840024,89.37546059534988,AB,NaN,1,4,hsc::z,NaN,NaN,32.092803955078125
14,79,79,58128.48046875,5676.021779420753,192.7495839425792,AB,NaN,1,3,hsc::i2,NaN,NaN,32.89280319213867
15,79,79,58195.30078125,329.24267624727764,42.52840540624037,AB,NaN,1,4,hsc::z,NaN,NaN,32.092803955078125
16,79,79,58195.3046875,315.05946524253227,44.81837332801417,AB,NaN,1,4,hsc::z,NaN,NaN,32.092803955078125
17,193,193,57755.6171875,416.9738562472906,45.190733058682675,AB,NaN,1,5,hsc::g,NaN,NaN,32.53818130493164
18,193,193,57783.44921875,1344.109404668038,172.88299480951383,AB,NaN,1,6,hsc::i2,NaN,NaN,32.77840805053711
19,193,193,57816.46875,543.8553014636398,78.86850015068813,AB,NaN,1,6,hsc::i2,NaN,NaN,32.77840805053711
20,193,193,57776.40234375,706.4867278981402,49.388702563097965,AB,NaN,1,7,hsc::r2,NaN,NaN,32.53818130493164
21,193,193,57774.47265625,1666.8803644888433,51.33589911275456,AB,NaN,1,8,hsc::z,NaN,NaN,31.978408813476562
22,193,193,57816.30859375,488.44508080963027,67.73560788402509,AB,NaN,1,8,hsc::z,NaN,NaN,31.978408813476562
23,193,193,57776.5078125,1871.3697361545485,118.32771451985403,AB,NaN,1,6,hsc::i2,NaN,NaN,32.77840805053711
24,193,193,57786.4609375,532.2775429222279,79.00405565014414,AB,NaN,1,7,hsc::r2,NaN,NaN,32.53818130493164
25,208,208,58782.53515625,5632.3125139710455,929.986143204905,AB,NaN,1,9,hsc::r2,NaN,NaN,32.53818130493164
26,208,208,58816.34765625,802.525451054525,60.421985206683736,AB,NaN,1,9,hsc::r2,NaN,NaN,32.53818130493164
27,208,208,58839.28125,337.59381675476135,62.27854508460402,AB,NaN,1,9,hsc::r2,NaN,NaN,32.53818130493164
28,208,208,58837.39453125,856.2483518017357,165.2711618467257,AB,NaN,1,10,hsc::z,NaN,NaN,31.978408813476562
29,208,208,58779.53515625,4315.711617500101,96.11688073255942,AB,NaN,1,10,hsc::z,NaN,NaN,31.978408813476562
30,208,208,58787.51953125,4091.4082411894474,103.11657032679192,AB,NaN,1,10,hsc::z,NaN,NaN,31.978408813476562
31,208,208,58782.5234375,9211.362533747288,1053.644640257387,AB,NaN,1,9,hsc::r2,NaN,NaN,32.53818130493164
32,232,232,58815.359375,191.2315839668759,33.986484859041774,AB,NaN,1,11,hsc::g,NaN,NaN,32.53818130493164
33,232,232,58755.5078125,14496.280733550864,171.76653303025344,AB,NaN,1,12,hsc::i2,NaN,NaN,32.77840805053711
34,232,232,58783.44921875,6780.981049206275,142.18362291565825,AB,NaN,1,12,hsc::i2,NaN,NaN,32.77840805053711
35,232,232,58788.359375,711.7960274304561,107.76865003981406,AB,NaN,1,11,hsc::g,NaN,NaN,32.53818130493164
36,232,232,58782.5234375,5927.611139859217,1053.2924725411995,AB,NaN,1,13,hsc::r2,NaN,NaN,32.53818130493164
37,232,232,58816.33203125,857.733384853667,47.88839863001186,AB,NaN,1,13,hsc::r2,NaN,NaN,32.53818130493164
38,232,232,58816.34765625,960.193530053855,60.90270110760086,AB,NaN,1,13,hsc::r2,NaN,NaN,32.53818130493164
39,232,232,58779.53515625,3657.609324639475,95.27193623360363,AB,NaN,1,14,hsc::z,NaN,NaN,31.978408813476562
40,232,232,58787.51953125,3017.96706966065,101.46400020722683,AB,NaN,1,14,hsc::z,NaN,NaN,31.978408813476562
41,232,232,58821.30859375,1202.3273654307245,94.40733411729927,AB,NaN,1,14,hsc::z,NaN,NaN,31.978408813476562
42,232,232,58821.40234375,2019.2413644835472,193.12986607197357,AB,NaN,1,12,hsc::i2,NaN,NaN,32.77840805053711
43,232,232,58755.453125,12960.23042325009,92.66884927104292,AB,NaN,1,13,hsc::r2,NaN,NaN,32.53818130493164
44,262,262,57816.46875,968.5056109143147,79.75150911024221,AB,NaN,1,15,hsc::i2,NaN,NaN,32.77840805053711
