sn,fieldid,mjd,band,flux,magsys,exptime,valid,fluxerr,zp,mag_sky,seeing,zpsys,lc,name
17,257520,58874.2421875,hsc::z,4785.831642405968,AB,NaN,1,106.03351348040663,32.092803955078125,NaN,NaN,ab,2,17
17,257520,58898.234375,hsc::z,6022.477575293203,AB,NaN,1,323.703136681816,32.092803955078125,NaN,NaN,ab,2,17
17,257520,58904.25390625,hsc::r2,18175.802229495483,AB,NaN,1,151.20051243233218,33.092803955078125,NaN,NaN,ab,1,17
17,257520,58904.24609375,hsc::r2,18195.44477906153,AB,NaN,1,118.37623648573518,33.092803955078125,NaN,NaN,ab,1,17
17,257520,58904.2421875,hsc::r2,18057.17779361441,AB,NaN,1,139.33489155723947,33.092803955078125,NaN,NaN,ab,1,17
17,257520,58900.25,hsc::Y,3476.073738402489,AB,NaN,1,183.72160279761962,31.69280242919922,NaN,NaN,ab,0,17
17,257520,58900.24609375,hsc::Y,3204.996484618624,AB,NaN,1,226.82618513117487,31.69280242919922,NaN,NaN,ab,0,17
17,257520,58876.23046875,hsc::Y,3710.595516441563,AB,NaN,1,321.76321991671836,31.69280242919922,NaN,NaN,ab,0,17
79,229267,58195.296875,hsc::z,412.4350193521607,AB,NaN,1,43.02344418697072,32.092803955078125,NaN,NaN,ab,4,79
79,229267,58195.29296875,hsc::z,388.03361715388655,AB,NaN,1,52.55759080297828,32.092803955078125,NaN,NaN,ab,4,79
79,229267,58159.55859375,hsc::z,945.9256858448844,AB,NaN,1,64.38122584953129,32.092803955078125,NaN,NaN,ab,4,79
79,229267,58131.6015625,hsc::z,2682.74886769176,AB,NaN,1,224.8975149341558,32.092803955078125,NaN,NaN,ab,4,79
79,229267,58131.59765625,hsc::z,2680.1209166099616,AB,NaN,1,80.79546526248402,32.092803955078125,NaN,NaN,ab,4,79
79,229267,58131.59375,hsc::z,2515.5788815840024,AB,NaN,1,89.37546059534988,32.092803955078125,NaN,NaN,ab,4,79
79,229267,58128.48046875,hsc::i2,5676.021779420753,AB,NaN,1,192.7495839425792,32.89280319213867,NaN,NaN,ab,3,79
79,229267,58195.30078125,hsc::z,329.24267624727764,AB,NaN,1,42.52840540624037,32.092803955078125,NaN,NaN,ab,4,79
79,229267,58195.3046875,hsc::z,315.05946524253227,AB,NaN,1,44.81837332801417,32.092803955078125,NaN,NaN,ab,4,79
193,226868,57755.6171875,hsc::g,416.9738562472906,AB,NaN,1,45.190733058682675,32.53818130493164,NaN,NaN,ab,5,193
193,226868,57783.44921875,hsc::i2,1344.109404668038,AB,NaN,1,172.88299480951383,32.77840805053711,NaN,NaN,ab,6,193
193,226868,57816.46875,hsc::i2,543.8553014636398,AB,NaN,1,78.86850015068813,32.77840805053711,NaN,NaN,ab,6,193
193,226868,57776.40234375,hsc::r2,706.4867278981402,AB,NaN,1,49.388702563097965,32.53818130493164,NaN,NaN,ab,7,193
193,226868,57774.47265625,hsc::z,1666.8803644888433,AB,NaN,1,51.33589911275456,31.978408813476562,NaN,NaN,ab,8,193
193,226868,57816.30859375,hsc::z,488.44508080963027,AB,NaN,1,67.73560788402509,31.978408813476562,NaN,NaN,ab,8,193
193,226868,57776.5078125,hsc::i2,1871.3697361545485,AB,NaN,1,118.32771451985403,32.77840805053711,NaN,NaN,ab,6,193
193,226868,57786.4609375,hsc::r2,532.2775429222279,AB,NaN,1,79.00405565014414,32.53818130493164,NaN,NaN,ab,7,193
208,254319,58782.53515625,hsc::r2,5632.3125139710455,AB,NaN,1,929.986143204905,32.53818130493164,NaN,NaN,ab,9,208
208,254319,58816.34765625,hsc::r2,802.525451054525,AB,NaN,1,60.421985206683736,32.53818130493164,NaN,NaN,ab,9,208
208,254319,58839.28125,hsc::r2,337.59381675476135,AB,NaN,1,62.27854508460402,32.53818130493164,NaN,NaN,ab,9,208
208,254319,58837.39453125,hsc::z,856.2483518017357,AB,NaN,1,165.2711618467257,31.978408813476562,NaN,NaN,ab,10,208
208,254319,58779.53515625,hsc::z,4315.711617500101,AB,NaN,1,96.11688073255942,31.978408813476562,NaN,NaN,ab,10,208
208,254319,58787.51953125,hsc::z,4091.4082411894474,AB,NaN,1,103.11657032679192,31.978408813476562,NaN,NaN,ab,10,208
208,254319,58782.5234375,hsc::r2,9211.362533747288,AB,NaN,1,1053.644640257387,32.53818130493164,NaN,NaN,ab,9,208
232,236464,58815.359375,hsc::g,191.2315839668759,AB,NaN,1,33.986484859041774,32.53818130493164,NaN,NaN,ab,11,232
232,236464,58755.5078125,hsc::i2,14496.280733550864,AB,NaN,1,171.76653303025344,32.77840805053711,NaN,NaN,ab,12,232
232,236464,58783.44921875,hsc::i2,6780.981049206275,AB,NaN,1,142.18362291565825,32.77840805053711,NaN,NaN,ab,12,232
232,236464,58788.359375,hsc::g,711.7960274304561,AB,NaN,1,107.76865003981406,32.53818130493164,NaN,NaN,ab,11,232
232,236464,58782.5234375,hsc::r2,5927.611139859217,AB,NaN,1,1053.2924725411995,32.53818130493164,NaN,NaN,ab,13,232
232,236464,58816.33203125,hsc::r2,857.733384853667,AB,NaN,1,47.88839863001186,32.53818130493164,NaN,NaN,ab,13,232
232,236464,58816.34765625,hsc::r2,960.193530053855,AB,NaN,1,60.90270110760086,32.53818130493164,NaN,NaN,ab,13,232
232,236464,58779.53515625,hsc::z,3657.609324639475,AB,NaN,1,95.27193623360363,31.978408813476562,NaN,NaN,ab,14,232
232,236464,58787.51953125,hsc::z,3017.96706966065,AB,NaN,1,101.46400020722683,31.978408813476562,NaN,NaN,ab,14,232
232,236464,58821.30859375,hsc::z,1202.3273654307245,AB,NaN,1,94.40733411729927,31.978408813476562,NaN,NaN,ab,14,232
232,236464,58821.40234375,hsc::i2,2019.2413644835472,AB,NaN,1,193.12986607197357,32.77840805053711,NaN,NaN,ab,12,232
232,236464,58755.453125,hsc::r2,12960.23042325009,AB,NaN,1,92.66884927104292,32.53818130493164,NaN,NaN,ab,13,232
262,226862,57816.46875,hsc::i2,968.5056109143147,AB,NaN,1,79.75150911024221,32.77840805053711,NaN,NaN,ab,15,262
262,226862,57783.44921875,hsc::i2,5397.331849843142,AB,NaN,1,176.26450631968962,32.77840805053711,NaN,NaN,ab,15,262
262,226862,57776.40234375,hsc::r2,3901.8176443034886,AB,NaN,1,58.33111090105065,32.53818130493164,NaN,NaN,ab,16,262
262,226862,57834.43359375,hsc::z,602.4193638120762,AB,NaN,1,58.89652589072821,31.978408813476562,NaN,NaN,ab,17,262
262,226862,57816.30859375,hsc::z,1053.5876321856556,AB,NaN,1,69.20239477838602,31.978408813476562,NaN,NaN,ab,17,262
262,226862,57774.47265625,hsc::z,3067.1386292036545,AB,NaN,1,55.39986262611087,31.978408813476562,NaN,NaN,ab,17,262
262,226862,57776.5078125,hsc::i2,6066.641454329679,AB,NaN,1,123.40697498152278,32.77840805053711,NaN,NaN,ab,15,262
262,226862,57786.4609375,hsc::r2,2413.345443472998,AB,NaN,1,82.69358611051213,32.53818130493164,NaN,NaN,ab,16,262
371,236469,58779.5390625,hsc::z,1315.1382873834073,AB,NaN,1,107.88175549353915,32.092803955078125,NaN,NaN,ab,20,371
371,236469,58783.4375,hsc::i2,1117.724795221531,AB,NaN,1,156.59350569179995,32.89280319213867,NaN,NaN,ab,19,371
371,236469,58753.34375,hsc::g,595.1491052690712,AB,NaN,1,105.23154893567938,33.092803955078125,NaN,NaN,ab,18,371
371,236469,58779.51953125,hsc::z,1163.3585032377496,AB,NaN,1,97.8442095876308,32.092803955078125,NaN,NaN,ab,20,371
371,236469,58787.5234375,hsc::z,894.8464615488167,AB,NaN,1,101.05475761416241,32.092803955078125,NaN,NaN,ab,20,371
371,236469,58787.52734375,hsc::z,918.8178213559783,AB,NaN,1,109.43239602914818,32.092803955078125,NaN,NaN,ab,20,371
371,236469,58787.53125,hsc::z,907.2959500434756,AB,NaN,1,111.78234466604424,32.092803955078125,NaN,NaN,ab,20,371
371,236469,58783.453125,hsc::i2,1003.3768856825906,AB,NaN,1,159.10517050108314,32.89280319213867,NaN,NaN,ab,19,371
511,255920,58876.23046875,hsc::Y,2687.5560636243154,AB,NaN,1,321.16668796221876,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58900.24609375,hsc::Y,1151.2508509473903,AB,NaN,1,225.56625042582817,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58876.28125,hsc::Y,2338.3151598619056,AB,NaN,1,95.08983077471146,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58869.2734375,hsc::Y,2271.4398297022412,AB,NaN,1,77.30995933760946,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58876.27734375,hsc::Y,2287.051573249136,AB,NaN,1,86.8290820202528,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58876.2734375,hsc::Y,2235.522132944686,AB,NaN,1,73.67244412850259,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58876.2421875,hsc::Y,2301.3122003128046,AB,NaN,1,96.67073838021639,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58900.25,hsc::Y,1398.931345532532,AB,NaN,1,182.1638602552996,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58849.375,hsc::Y,4244.284530352956,AB,NaN,1,257.581213722975,31.69280242919922,NaN,NaN,ab,21,511
511,255920,58845.29296875,hsc::g,6680.116923334433,AB,NaN,1,59.68313924368381,33.092803955078125,NaN,NaN,ab,22,511
511,255920,58904.24609375,hsc::r2,1032.3055707669264,AB,NaN,1,93.5774480708363,33.092803955078125,NaN,NaN,ab,24,511
511,255920,58904.25,hsc::r2,1087.7983497701734,AB,NaN,1,108.28354167792227,33.092803955078125,NaN,NaN,ab,24,511
511,255920,58904.25390625,hsc::r2,1276.8012383942523,AB,NaN,1,132.69841005124348,33.092803955078125,NaN,NaN,ab,24,511
511,255920,58874.33203125,hsc::i2,6273.532439998916,AB,NaN,1,142.04409377225022,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58874.328125,hsc::i2,6157.946999334732,AB,NaN,1,117.46444917745939,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58904.234375,hsc::r2,999.9006452254303,AB,NaN,1,169.11779202500824,33.092803955078125,NaN,NaN,ab,24,511
511,255920,58874.3359375,hsc::i2,6223.100450862537,AB,NaN,1,139.7124769013988,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58903.25390625,hsc::i2,2262.9809472247025,AB,NaN,1,194.75860501687058,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58903.2578125,hsc::i2,2264.513471867409,AB,NaN,1,140.26912125344768,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58845.2890625,hsc::g,6762.409685912299,AB,NaN,1,66.40082661424898,33.092803955078125,NaN,NaN,ab,22,511
511,255920,58903.26171875,hsc::i2,2519.523071283348,AB,NaN,1,119.78947577216832,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58903.265625,hsc::i2,2144.451326240092,AB,NaN,1,162.72697921666222,32.89280319213867,NaN,NaN,ab,23,511
511,255920,58904.2421875,hsc::r2,1233.7131217839903,AB,NaN,1,118.98017923460985,33.092803955078125,NaN,NaN,ab,24,511
511,255920,58867.31640625,hsc::z,3870.3225422037053,AB,NaN,1,244.4638430948811,32.092803955078125,NaN,NaN,ab,25,511
